Id,League,Date,Time,Round,Home,Away,posicao_home,posicao_away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Total_2HT_H,Media_Total_2HT_A,CV_Media_Total_2HT_H,CV_Media_Total_2HT_A,PPJ_H,CV_Pontos_H,PPJ_A,CV_Pontos_A,Media_primeiro_gol_home,Media_primeiro_gol_away,Media_primeiro_gol_home_sofrido,Media_primeiro_gol_away_sofrido,xg_home,xg_away,xg_jogo,Power_home,Power_away,media_movel_chutes_por_gol_H,media_movel_chutes_por_gol_A,media_chutes_home,media_chutes_away,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Home_Win_HT,Porc_Over25FT_Home,Porc_BTTS_Home,Media_FT_Corners_H_MAR,Media_FT_Corners_H_SFR,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Away_Win_HT,Porc_Over25FT_Away,Porc_BTTS_Away,Media_FT_Corners_A_MAR,Media_FT_Corners_A_SFR,Diferente_0x0_Home,Diferente_0x0_Away,Diferente_0x1_Home,Diferente_0x1_Away
xdW6Kjne,NORUEGA - ELITESERIEN,2024-04-01,12:00,RODADA 1,Lilleström,Kristiansund,10.0,16.0,,,,,,,,2.5,,0.14,,1.9,0.76,,,40.6,,30.12,,,,,7.1,,2.79,,5.86,,70.0,50.0,30.0,60.0,50.0,90.0,80.0,6.6,6.6,90.0,40.0,10.0,0.0,0.0,60.0,30.0,,,100.0,100.0,50.0,10.0
WIVAJA11,NORUEGA - ELITESERIEN,2024-04-01,12:00,RODADA 1,Molde,Strömsgodset,2.0,4.0,,,,,,,,1.6,1.8,0.1,0.18,2.3,0.5,1.0,1.41,18.56,51.17,38.2,43.56,2.28,1.06,3.34,8.3,4.0,2.82,2.77,6.11,2.78,90.0,60.0,10.0,70.0,70.0,60.0,50.0,6.9,6.9,50.0,20.0,50.0,30.0,10.0,40.0,50.0,3.7,3.7,90.0,100.0,40.0,30.0
A9UEIUG7,NORUEGA - ELITESERIEN,2024-04-01,12:00,RODADA 1,Rosenborg,Sandefjord,7.0,13.0,,,,,,,,1.0,1.5,0.39,0.12,1.5,0.9,0.1,3.16,41.67,33.67,35.71,32.5,2.12,1.6,3.72,1.2,-0.8,3.69,2.5,4.56,3.67,80.0,50.0,20.0,40.0,30.0,50.0,60.0,4.5,4.5,90.0,60.0,10.0,0.0,10.0,60.0,60.0,4.4,4.4,100.0,100.0,20.0,50.0
nRDcsEg8,NORUEGA - ELITESERIEN,2024-04-01,12:00,RODADA 1,Tromsö,Brann,6.0,1.0,,,,,,,,1.2,1.1,0.25,0.19,1.7,0.83,1.3,1.15,34.75,34.12,46.29,30.43,1.9,0.89,2.79,6.7,0.5,3.5,3.21,5.0,3.67,60.0,30.0,40.0,50.0,40.0,50.0,60.0,4.3,4.3,100.0,60.0,0.0,40.0,40.0,50.0,50.0,6.7,6.7,90.0,100.0,50.0,70.0
QHC1tY8E,NORUEGA - ELITESERIEN,2024-04-01,14:15,RODADA 1,Viking,Sarpsborg 08,8.0,14.0,,,,,,,,2.6,1.8,0.08,0.09,2.5,0.43,1.4,1.02,57.5,35.7,35.71,47.71,2.24,1.9,4.14,7.5,3.1,2.93,3.31,5.89,5.44,50.0,40.0,50.0,80.0,0.0,60.0,70.0,7.2,7.2,70.0,40.0,30.0,40.0,40.0,70.0,70.0,5.9,5.9,100.0,100.0,60.0,70.0
zXkwjZV4,ESCÓCIA - PREMIERSHIP,2024-01-02,12:00,RODADA 22,Dundee FC,St. Johnstone,7.0,10.0,1.95,3.4,4.0,2.05,1.75,1.91,1.91,1.88,0.78,0.16,0.06,1.12,1.11,0.44,1.19,48.6,57.0,29.6,43.33,1.18,0.53,1.71,0.29,2.38,2.5,,4.4,1.75,62.5,25.0,37.5,25.0,12.5,62.5,37.5,6.14,6.14,44.44,11.11,55.56,0.0,0.0,11.11,22.22,4.0,4.0,87.5,66.67,37.5,11.11
ENlskgoB,ESCÓCIA - PREMIERSHIP,2024-01-02,12:00,RODADA 22,Hibernian,Motherwell,6.0,8.0,1.85,3.5,4.2,1.98,1.88,1.8,1.95,1.25,0.88,0.23,0.29,1.38,1.02,0.75,1.38,44.4,47.33,37.67,35.5,1.13,0.57,1.7,2.43,0.86,2.67,3.17,5.2,3.17,62.5,12.5,37.5,37.5,37.5,25.0,25.0,6.17,6.17,62.5,25.0,37.5,12.5,25.0,25.0,25.0,5.67,5.67,75.0,87.5,37.5,25.0
8plolD0H,ESCÓCIA - PREMIERSHIP,2024-01-02,12:00,RODADA 22,Livingston,Hearts,12.0,3.0,3.8,3.6,1.95,2.2,1.65,2.05,1.7,0.88,1.11,0.19,0.18,0.88,1.13,1.67,0.95,71.0,35.71,39.5,58.2,0.0,0.98,0.98,-1.14,2.88,2.25,2.75,3.0,3.25,37.5,0.0,62.5,12.5,0.0,12.5,12.5,4.2,4.2,66.67,11.11,33.33,55.56,55.56,33.33,33.33,7.4,7.4,62.5,100.0,37.5,66.67
MmhkmXFN,ESCÓCIA - PREMIERSHIP,2024-01-02,12:00,RODADA 22,Rangers,Kilmarnock,2.0,4.0,1.25,6.5,9.5,1.62,2.25,2.2,1.62,1.12,0.89,0.3,0.25,2.62,0.4,0.78,1.25,33.43,50.2,18.33,26.8,1.44,0.35,1.79,6.57,1.88,3.19,2.62,5.6,3.4,100.0,25.0,0.0,87.5,75.0,50.0,25.0,5.8,5.8,55.56,33.33,44.44,11.11,11.11,44.44,44.44,6.57,6.57,100.0,66.67,37.5,55.56
4CsfniVT,ESCÓCIA - PREMIERSHIP,2024-01-02,12:00,RODADA 22,Ross County,Aberdeen,11.0,9.0,3.2,3.2,2.4,2.1,1.7,1.91,1.91,1.0,2.0,0.2,0.15,1.38,1.02,0.71,1.56,46.25,34.0,57.25,37.17,0.98,0.57,1.55,1.14,0.83,4.5,1.25,3.75,2.8,50.0,25.0,50.0,37.5,25.0,25.0,12.5,5.67,5.67,85.71,28.57,14.29,14.29,28.57,42.86,28.57,3.33,3.33,87.5,85.71,37.5,28.57
lYM4iq4I,ESPANHA - LALIGA,2024-01-02,13:00,RODADA 19,Getafe,Rayo Vallecano,8.0,11.0,2.45,3.0,3.2,2.7,1.44,2.2,1.62,0.86,1.25,0.25,0.25,2.43,0.4,1.38,1.02,55.5,51.5,17.67,54.0,0.92,1.06,1.98,6.33,5.14,3.25,3.12,3.8,4.5,42.86,42.86,57.14,71.43,14.29,28.57,42.86,4.33,4.33,37.5,25.0,62.5,37.5,25.0,25.0,12.5,3.33,3.33,85.71,87.5,28.57,50.0
6LTLsBwo,ESCÓCIA - PREMIERSHIP,2024-01-02,14:00,RODADA 22,St. Mirren,Celtic,5.0,1.0,12.0,5.5,1.29,1.62,2.25,2.05,1.7,1.22,1.78,0.43,0.1,1.67,0.79,2.44,0.46,35.67,33.88,34.4,51.0,0.57,1.25,1.82,1.88,7.62,2.88,3.55,3.6,8.17,77.78,11.11,22.22,44.44,33.33,44.44,33.33,4.17,4.17,77.78,22.22,22.22,77.78,66.67,77.78,44.44,6.5,6.5,88.89,88.89,55.56,55.56
GrNqhGfT,ESPANHA - LALIGA,2024-01-02,15:15,RODADA 19,Real Sociedad,Alavés,6.0,16.0,1.55,3.8,7.0,2.3,1.6,2.25,1.57,1.75,1.0,0.32,0.15,1.88,0.66,0.38,1.38,17.5,40.67,64.33,44.29,1.6,0.63,2.23,5.71,1.29,2.54,9.0,4.67,4.6,62.5,37.5,37.5,50.0,50.0,37.5,62.5,4.43,4.43,62.5,12.5,37.5,0.0,12.5,25.0,37.5,4.0,4.0,87.5,87.5,50.0,12.5
CAMUaTAR,INGLATERRA - PREMIER LEAGUE,2024-01-02,16:30,RODADA 20,West Ham,Brighton,6.0,8.0,2.3,3.6,2.9,1.62,2.25,1.5,2.5,2.0,2.0,0.09,0.15,1.75,0.79,1.38,1.02,23.14,49.0,46.5,33.25,1.7,1.34,3.04,5.0,4.14,2.17,2.42,3.5,5.25,75.0,37.5,25.0,50.0,50.0,62.5,62.5,4.8,4.8,87.5,37.5,12.5,37.5,37.5,62.5,87.5,2.6,2.6,100.0,100.0,50.0,37.5
bskYZGYp,ESPANHA - LALIGA,2024-01-02,17:30,RODADA 19,Valencia,Villarreal,10.0,13.0,2.2,3.4,3.3,2.04,1.86,1.75,2.0,0.86,1.29,0.25,0.17,2.0,0.65,0.86,1.25,46.33,39.67,39.5,35.8,1.26,0.69,1.95,2.33,1.83,2.93,4.0,4.4,3.0,57.14,28.57,42.86,57.14,42.86,28.57,28.57,4.33,4.33,57.14,57.14,42.86,14.29,0.0,42.86,71.43,4.6,4.6,85.71,85.71,0.0,57.14
lzlSGw6E,GRÉCIA - SUPERLIGA,2024-01-03,11:00,RODADA 16,Asteras T.,Aris,6.0,5.0,3.6,3.1,2.25,2.25,1.62,1.95,1.8,1.71,1.0,0.19,0.25,1.0,1.41,0.8,1.63,36.6,50.0,33.8,38.0,1.18,1.44,2.62,5.17,0.0,2.44,,3.25,4.67,71.43,42.86,28.57,28.57,14.29,71.43,42.86,3.4,3.4,40.0,20.0,60.0,20.0,0.0,20.0,20.0,3.5,3.5,100.0,80.0,42.86,40.0
d0L5eTZ5,GRÉCIA - SUPERLIGA,2024-01-03,12:00,RODADA 16,Lamia,Olympiacos,7.0,3.0,9.5,5.0,1.36,1.8,2.0,2.1,1.67,1.67,1.0,0.25,0.22,1.33,1.02,2.0,0.55,35.0,46.6,27.0,21.0,1.04,1.55,2.59,4.4,4.2,2.88,3.0,4.0,6.0,83.33,33.33,16.67,33.33,33.33,83.33,83.33,3.6,3.6,50.0,50.0,50.0,50.0,16.67,33.33,33.33,5.33,5.33,100.0,83.33,50.0,66.67
rVOyfxQG,ESPANHA - LALIGA,2024-01-03,13:00,RODADA 19,Granada,Cádiz,19.0,17.0,2.25,3.1,3.5,2.35,1.57,1.95,1.8,1.62,1.38,0.25,0.11,0.88,1.13,0.38,1.38,40.5,38.0,32.75,48.0,1.47,0.98,2.45,3.86,-0.71,2.96,1.5,5.0,2.67,75.0,62.5,25.0,12.5,12.5,50.0,75.0,3.83,3.83,62.5,25.0,37.5,0.0,37.5,25.0,50.0,4.33,4.33,100.0,100.0,62.5,12.5
AqkOHJj8,GRÉCIA - SUPERLIGA,2024-01-03,14:00,RODADA 16,AEK,Volos,4.0,10.0,1.13,7.5,26.0,1.53,2.4,2.75,1.4,1.0,1.5,0.13,0.26,2.33,0.44,1.0,1.1,39.0,54.25,42.67,46.0,1.79,0.69,2.48,4.2,2.2,5.25,1.5,7.75,1.75,83.33,50.0,16.67,66.67,50.0,50.0,50.0,7.2,7.2,66.67,16.67,33.33,16.67,16.67,33.33,66.67,3.4,3.4,100.0,100.0,16.67,0.0
ry60bVkm,GRÉCIA - SUPERLIGA,2024-01-03,15:00,RODADA 16,PAOK,OFI Crete,1.0,9.0,1.25,6.5,9.5,1.57,2.35,2.1,1.67,1.29,1.33,0.25,0.3,2.71,0.28,0.33,1.55,29.83,21.0,47.5,30.8,1.96,0.35,2.31,10.67,1.4,2.83,2.5,5.5,4.0,85.71,42.86,14.29,85.71,85.71,71.43,28.57,6.33,6.33,83.33,33.33,16.67,0.0,16.67,66.67,33.33,4.75,4.75,85.71,83.33,28.57,33.33
URKXfIAA,ESPANHA - LALIGA,2024-01-03,15:15,RODADA 19,Celta de Vigo,Bétis,18.0,7.0,2.38,3.3,3.0,2.05,1.85,1.75,2.0,0.88,1.0,0.15,0.49,0.75,1.38,1.0,0.93,30.75,25.4,45.86,41.17,0.66,1.18,1.84,-2.14,1.14,4.25,2.38,4.33,3.2,75.0,12.5,25.0,12.5,25.0,25.0,37.5,7.33,7.33,62.5,50.0,37.5,12.5,12.5,37.5,62.5,4.67,4.67,100.0,75.0,62.5,12.5
