League,Date,Time,Round,Home,Away,Class_Home,Class_Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,p_H,p_D,p_A,CV_HDA,P_expt_H,P_expt_A,Media_GM_H_6j,Media_GS_H_6j,Media_Total_1HT_H,CV_Media_Total_1HT_H,Media_Total_2HT_H,CV_Media_Total_2HT_H,Media_primeiro_gol_home,Media_primeiro_gol_home_sofrido,Porc_Marcou_Primeiro_Golo_H,Porc_Sofreu_Primeiro_Golo_H,Porc_Marcou_Primeiro_Golo_H_1P,Porc_Sofreu_Primeiro_Golo_H_1P,media_movel_chutes_por_gol_H,media_chutes_home,PPJ_H,CV_Pontos_H,Power_home,Media_CG_H,CV_CG_H,Media_VG_H,CV_VG_H,Porc_Over05HT_Home,Porc_Over15HT_Home,Porc_Under05HT_Home,Porc_Home_Win,Porc_Over15FT_Home,Porc_Over25FT_Home,Porc_BTTS_Home,Media_FT_Corners_H_MAR,Media_FT_Corners_H_SFR,media_movel_media_cartoes_amarelos_H,media_movel_media_cartoes_vermelhos_H,0x0_H,1x0_H,1x1_H,0x1_H,2x0_H,2x1_H,2x2_H,0x2_H,1x2_H,3x0_H,3x1_H,3x2_H,3x3_H,0x3_H,1x3_H,2x3_H,Goleada_H,Outro_Empate_H,Media_GM_A_6,Media_GS_A_6,Media_Total_1HT_A,CV_Media_Total_1HT_A,Media_Total_2HT_A,CV_Media_Total_2HT_A,Media_primeiro_gol_away,Media_primeiro_gol_away_sofrido,Porc_Marcou_Primeiro_Golo_A,Porc_Sofreu_Primeiro_Golo_A,Porc_Marcou_Primeiro_Golo_A_1P,Porc_Sofreu_Primeiro_Golo_A_1P,media_movel_chutes_por_gol_A,media_chutes_away,PPJ_A,CV_Pontos_A,Power_away,Media_CG_A,CV_CG_A,Media_VG_A,CV_VG_A,Porc_Over05HT_Away,Porc_Over15HT_Away,Porc_Under05HT_Away,Porc_Away_Win,Porc_Over15FT_Away,Porc_Over25FT_Away,Porc_BTTS_Away,Media_FT_Corners_A_MAR,Media_FT_Corners_A_SFR,media_movel_media_cartoes_amarelos_A,media_movel_media_cartoes_vermelhos_A,0x0_A,1x0_A,1x1_A,0x1_A,2x0_A,2x1_A,2x2_A,0x2_A,1x2_A,3x0_A,3x1_A,3x2_A,3x3_A,0x3_A,1x3_A,2x3_A,Goleada_A,Outro_Empate_A
ALEMANHA - BUNDESLIGA,2023-12-19,18:30,RONDA 16,Bremen,RB Leipzig,12,4,4.668472222222222,4.851760969976905,1.7250705671028996,1.22,4.0,1.13,6.0,1.4,3.0,2.0,1.8,1.44,2.63,0.214202838187606,0.20611073096718535,0.5796864308452087,0.5226878057124829,0.8487192455300033,1.9451700235028113,1.83,1.5,0.67,0.25,1.83,0.11,33.8,19.75,33.33,16.67,33.33,0.0,2.7,4.17,1.67,0.23,1.56,5.03,0.67,0.67,0.67,100.0,33.33,0.0,50.0,100.0,66.67,50.0,3.5,6.17,1.8,0.09,0.0,0.0,40.0,0.0,0.0,0.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.67,1.33,0.5,0.3,0.18,0.18,43.6,35.25,50.0,33.33,50.0,33.33,4.33,6.0,1.5,0.25,2.08,3.43,0.68,0.42,0.71,50.0,33.33,50.0,50.0,83.33,66.67,50.0,6.17,4.5,1.8,0.09,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,40.0,0.0
ALEMANHA - BUNDESLIGA,2023-12-19,20:30,RONDA 16,Dortmund,Mainz,5,17,1.588516746411483,5.030303030303029,5.824561403508771,1.25,3.75,1.14,5.5,1.5,2.63,2.2,1.67,1.57,2.25,0.6295180722891567,0.1987951807228916,0.17168674698795183,0.6291793058626642,2.0873493975903616,0.7138554216867471,2.0,1.67,1.0,0.65,1.67,0.1,35.8,21.75,83.33,0.0,83.33,0.0,3.7,6.5,2.17,0.08,4.36,3.23,0.82,0.36,0.91,66.67,66.67,33.33,66.67,66.67,66.67,50.0,5.0,4.17,1.8,0.09,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,1.0,2.33,0.33,0.26,0.19,0.19,38.25,12.4,33.33,50.0,16.67,33.33,2.88,3.33,0.5,0.65,-2.64,3.09,0.81,0.4,0.82,83.33,50.0,16.67,0.0,83.33,83.33,66.67,4.0,3.67,1.8,0.09,0.0,0.0,40.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALEMANHA - BUNDESLIGA,2023-12-19,20:30,RONDA 16,Hoffenheim,Darmstadt,7,18,1.5283643892339547,5.533733133433284,6.060755336617406,1.25,3.75,1.14,5.5,1.5,2.63,2.2,1.67,1.62,2.2,0.6542942292061771,0.18070983473313465,0.16499593606068813,0.6811328247669284,2.143592522351666,0.6756976429151991,1.5,2.17,0.5,0.39,1.33,0.1,37.83,25.33,16.67,50.0,0.0,16.67,4.36,5.5,0.67,0.61,-1.67,4.85,0.76,0.6,0.7,100.0,83.33,0.0,16.67,100.0,83.33,100.0,4.17,3.17,1.8,0.09,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,0.0,0.83,3.17,0.5,0.34,0.29,0.29,28.0,42.5,16.67,50.0,16.67,50.0,1.12,2.17,0.67,0.39,-3.33,5.96,0.76,0.52,0.76,66.67,50.0,33.33,16.67,83.33,66.67,66.67,2.67,6.33,1.8,0.09,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
TURQUIA - SUPER LIGA,2023-12-19,15:00,RONDA 17,Basaksehir,Sivasspor,14,12,2.2478733766233767,3.6130202217873455,3.5924916977999173,1.43,2.71,1.31,3.04,2.11,1.81,3.48,1.24,1.83,1.93,0.44486491561288083,0.27677675147505937,0.2783583329120597,0.2366021437049345,1.611371498313702,1.1118517502112384,1.5,1.5,0.83,0.39,1.33,0.13,29.0,33.2,50.0,0.0,33.33,0.0,1.71,3.67,1.17,0.28,1.31,3.71,0.75,0.47,0.78,83.33,50.0,16.67,33.33,83.33,50.0,50.0,3.0,4.5,1.8,0.09,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.5,1.67,0.67,0.34,0.17,0.17,28.25,47.67,16.67,16.67,16.67,16.67,2.58,4.17,1.67,0.16,1.75,4.62,0.78,0.59,0.79,83.33,50.0,16.67,50.0,100.0,66.67,66.67,3.33,6.67,1.8,0.09,0.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
TURQUIA - SUPER LIGA,2023-12-19,18:00,RONDA 17,Gaziantep,Adana Demirspor,15,6,2.910506424792139,3.8738430583501007,2.510824204486177,1.3,3.34,1.17,4.2,1.7,2.29,2.51,1.44,1.54,2.41,0.34358281826208903,0.25814158832389755,0.3982755934140133,0.17300012372760443,1.2888900431101646,1.4529683685659374,1.0,1.17,0.17,0.41,1.33,0.39,53.75,20.67,0.0,50.0,0.0,16.67,1.88,3.17,1.5,0.42,-0.17,2.34,0.76,0.29,0.74,66.67,16.67,33.33,50.0,66.67,33.33,16.67,5.0,4.67,1.8,0.09,0.0,0.0,60.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.17,1.67,0.5,0.21,0.12,0.12,49.8,42.5,33.33,33.33,33.33,33.33,3.8,4.67,0.67,0.77,0.94,2.92,0.66,0.39,0.71,83.33,16.67,16.67,0.0,100.0,33.33,83.33,6.0,5.17,1.8,0.09,0.0,0.0,70.0,0.0,0.0,0.0,10.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0
TURQUIA - SUPER LIGA,2023-12-19,18:00,RONDA 17,Istanbulspor,Trabzonspor,20,4,5.509831779949988,4.3423209566892105,1.70005961983587,1.33,3.16,1.21,3.74,1.79,2.14,2.71,1.38,1.77,2.0,0.18149374426256565,0.23029159059731205,0.5882146651401223,0.5439780000850912,0.774772823385009,1.994935586017679,1.0,1.83,0.5,0.49,1.67,0.08,39.75,45.83,33.33,16.67,16.67,0.0,2.38,2.67,0.67,0.58,-1.22,3.24,0.82,0.41,0.83,66.67,33.33,33.33,16.67,83.33,50.0,66.67,2.83,6.17,1.8,0.09,0.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,40.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.17,1.67,1.17,0.14,0.19,0.19,27.0,50.2,50.0,0.0,50.0,0.0,1.51,3.67,1.33,0.19,2.39,8.61,1.09,0.88,0.91,83.33,33.33,16.67,33.33,66.67,66.67,66.67,2.67,7.0,1.8,0.09,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0
ESPANHA - LALIGA,2023-12-19,19:00,RONDA 18,Rayo Vallecano,Valencia,11,10,2.3137254901960786,3.4705882352941178,3.5757575757575757,1.5,2.5,1.44,2.75,2.35,1.57,4.5,1.2,2.0,1.75,0.43220338983050843,0.288135593220339,0.2796610169491526,0.20999172361633667,1.5847457627118642,1.1271186440677967,1.33,2.33,0.83,0.1,1.67,0.14,19.8,28.8,0.0,16.67,0.0,0.0,5.3,6.83,1.0,0.29,0.42,3.52,0.6,0.41,0.58,100.0,83.33,0.0,16.67,100.0,66.67,66.67,5.33,3.67,1.8,0.09,0.0,0.0,40.0,0.0,0.0,0.0,30.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,2.33,0.33,0.38,0.07,0.07,52.25,24.33,16.67,0.0,16.67,0.0,3.0,3.83,0.5,0.6,-1.83,4.81,0.89,0.5,0.85,100.0,33.33,0.0,0.0,83.33,66.67,66.67,3.67,5.17,1.8,0.09,0.0,0.0,60.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPANHA - LALIGA,2023-12-19,21:30,RONDA 18,Atl. Madrid,Getafe,4,8,1.5382777961068954,4.625515873015873,7.477739286630742,1.4,2.75,1.3,3.5,1.99,1.91,3.4,1.33,2.1,1.67,0.6500776404176283,0.2161921021250311,0.13373025745734066,0.6794639328583918,2.166425023377916,0.6173828744970531,2.33,1.0,1.17,0.06,1.5,0.15,32.17,46.0,33.33,16.67,33.33,16.67,2.78,6.33,3.0,0.0,7.83,4.27,0.51,0.43,0.73,83.33,66.67,16.67,100.0,83.33,83.33,83.33,4.83,4.67,1.8,0.09,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1.33,2.17,0.83,0.33,0.24,0.24,25.75,18.2,16.67,50.0,16.67,50.0,1.96,3.0,0.5,0.21,-1.17,8.46,0.82,0.76,0.81,83.33,33.33,16.67,0.0,83.33,83.33,66.67,2.0,7.0,1.8,0.09,0.0,0.0,50.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESPANHA - LALIGA,2023-12-19,21:30,RONDA 18,Granada,Sevilla,19,17,2.8529411764705888,3.592592592592593,2.6944444444444446,1.4,2.75,1.3,3.5,2.01,1.89,3.4,1.33,1.75,2.0,0.3505154639175257,0.2783505154639175,0.37113402061855666,0.11933852477103325,1.3298969072164946,1.3917525773195873,1.83,2.17,1.0,0.14,1.5,0.2,36.17,29.33,0.0,33.33,0.0,0.0,3.64,5.33,1.0,0.51,0.81,6.69,0.56,0.77,0.46,83.33,83.33,16.67,16.67,100.0,66.67,100.0,3.67,5.33,1.8,0.09,0.0,0.0,50.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.17,1.67,0.5,0.41,0.17,0.17,53.25,28.0,0.0,50.0,0.0,33.33,3.67,4.5,0.5,1.38,-0.56,3.49,0.8,0.39,0.79,66.67,33.33,33.33,0.0,66.67,50.0,66.67,3.83,5.83,1.8,0.09,0.0,0.0,100.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANÇA - LIGA2,2023-12-19,20:45,RONDA 19,AC Ajaccio,Valenciennes,7,20,2.0387719298245615,3.2022595756406727,5.070244328097731,1.67,2.1,1.62,2.2,2.88,1.4,6.5,1.11,2.5,1.5,0.49049135186300663,0.31227949401944755,0.19722915411754582,0.3619375134109392,1.7837535496084673,0.903966956372085,1.5,0.5,0.17,0.0,1.67,0.35,47.8,38.5,0.0,50.0,0.0,33.33,1.9,3.0,2.33,0.19,4.81,3.17,0.53,0.34,0.55,33.33,0.0,66.67,66.67,66.67,33.33,33.33,2.17,3.67,1.8,0.09,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,1.0,2.0,0.5,0.34,0.21,0.21,37.8,35.8,33.33,16.67,16.67,16.67,3.8,4.17,0.67,0.31,-2.42,4.58,0.58,0.49,0.58,83.33,50.0,16.67,16.67,100.0,66.67,66.67,3.83,6.33,1.8,0.09,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRANÇA - LIGA2,2023-12-19,20:45,RONDA 19,Amiens,Caen,12,9,2.5370833333333334,3.4112044817927174,3.1980042016806722,1.5,2.5,1.4,2.75,2.25,1.62,4.0,1.22,1.91,1.8,0.3941533913614715,0.2931515848250944,0.31269502381343406,0.13122033597996105,1.4756117589095088,1.2312366562653967,1.0,1.17,0.5,0.17,1.0,0.33,27.33,32.67,0.0,0.0,0.0,0.0,4.25,4.33,1.0,0.2,1.39,2.5,1.37,0.31,1.38,50.0,50.0,50.0,16.67,50.0,50.0,50.0,3.83,4.0,1.8,0.09,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,1.33,2.5,0.67,0.29,0.18,0.18,56.4,30.33,16.67,0.0,16.67,0.0,2.47,3.17,0.33,1.21,-1.92,4.0,0.72,0.49,0.72,83.33,50.0,16.67,0.0,100.0,83.33,83.33,6.17,3.33,1.8,0.09,0.0,0.0,60.0,0.0,0.0,0.0,20.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0
FRANÇA - LIGA2,2023-12-19,20:45,RONDA 19,Angers,Guingamp,1,6,2.13237639553429,3.5184210526315782,4.051515151515151,1.53,2.38,1.44,2.63,2.35,1.57,4.33,1.2,2.1,1.67,0.4689603590127151,0.28421839940164556,0.24682124158563953,0.29133130031792553,1.6910994764397909,1.0246821241585642,1.0,1.0,0.33,0.41,0.83,0.3,57.6,17.75,16.67,16.67,0.0,16.67,4.1,4.0,1.33,0.27,0.5,6.54,0.74,0.52,0.5,66.67,50.0,33.33,33.33,66.67,50.0,66.67,6.5,4.17,1.8,0.09,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,0.67,1.0,0.33,0.68,0.28,0.28,53.0,52.0,16.67,33.33,16.67,33.33,5.25,4.17,1.33,0.21,1.67,2.26,0.74,0.27,0.73,33.33,16.67,66.67,33.33,33.33,33.33,33.33,5.0,5.5,1.8,0.09,0.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,20.0,0.0
FRANÇA - LIGA2,2023-12-19,20:45,RONDA 19,Annecy,Rodez,16,11,2.717171717171717,3.5163398692810457,2.877005347593583,1.44,2.63,1.36,3.0,2.15,1.67,4.0,1.22,1.83,1.83,0.3680297397769517,0.2843866171003718,0.3475836431226766,0.10680860891121666,1.3884758364312269,1.3271375464684014,1.17,1.17,0.83,0.16,1.17,0.22,24.6,36.5,0.0,0.0,0.0,0.0,2.9,3.33,1.17,0.26,2.69,3.73,0.61,0.44,0.59,83.33,33.33,16.67,16.67,83.33,33.33,66.67,5.17,4.33,1.8,0.09,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,2.0,0.5,0.14,0.2,0.2,45.8,38.83,16.67,0.0,16.67,0.0,2.3,3.33,0.83,0.24,-0.75,5.33,0.57,0.61,0.57,83.33,50.0,16.67,16.67,83.33,83.33,83.33,4.17,4.33,1.8,0.09,0.0,0.0,20.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
FRANÇA - LIGA2,2023-12-19,20:45,RONDA 19,Concarneau,Grenoble,13,4,3.4222222222222225,3.4222222222222225,2.40625,1.5,2.5,1.36,3.0,2.15,1.67,4.0,1.22,1.91,1.8,0.2922077922077922,0.2922077922077922,0.4155844155844156,0.1744808940590183,1.1688311688311688,1.5389610389610389,1.17,1.33,0.17,0.69,1.83,0.19,50.0,49.2,16.67,0.0,0.0,0.0,1.5,3.33,1.33,0.18,1.42,3.11,1.22,0.39,1.25,33.33,16.67,66.67,33.33,66.67,33.33,50.0,4.0,4.5,1.8,0.09,0.0,0.0,70.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,1.33,1.17,0.5,0.27,0.18,0.18,28.5,17.5,16.67,33.33,16.67,16.67,1.88,4.0,1.5,0.24,1.97,4.57,0.76,0.54,0.75,66.67,50.0,33.33,33.33,66.67,66.67,66.67,3.83,3.67,1.8,0.09,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
FRANÇA - LIGA2,2023-12-19,20:45,RONDA 19,Dunkerque,Bordeaux,19,17,3.8149210903873745,3.602981029810298,2.1723856209150325,1.4,2.75,1.3,3.4,2.03,1.83,3.4,1.3,1.8,1.91,0.2621286197818729,0.2775479503572772,0.46032342986084995,0.27004780022321295,1.0639338097028959,1.658518239939827,0.67,1.5,0.17,1.17,1.0,0.13,52.0,37.8,66.67,0.0,66.67,0.0,3.17,4.67,0.33,1.52,-2.5,2.02,1.11,0.25,1.14,50.0,33.33,50.0,0.0,50.0,50.0,50.0,4.83,6.0,1.8,0.09,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.83,1.5,0.33,0.2,0.17,0.17,40.67,26.4,16.67,16.67,16.67,16.67,2.33,4.0,1.17,0.17,-0.56,2.04,1.12,0.25,1.14,83.33,33.33,16.67,33.33,83.33,50.0,50.0,5.17,3.17,1.8,0.09,0.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0
